R,E
0.2,2.1978035
0.3,0.619241793
0.4,-0.120230242
0.5,-0.526636871
0.6,-0.769635353
0.8,-1.020056603
0.9,-1.08364318
1,-1.124539664
1.1,-1.150057316
1.2,-1.164935195
1.3,-1.172347104
1.35,-1.173963683
1.4,-1.174475671
1.45,-1.174057029
1.5,-1.17285038
1.6,-1.168583333
1.7,-1.162458688
1.8,-1.155068699
2,-1.138132919
2.2,-1.120132079
2.4,-1.102422568
2.6,-1.085791199
2.8,-1.070683196
3,-1.057326233
3.2,-1.045799627
3.4,-1.036075361
3.6,-1.028046276
3.8,-1.021549766
4,-1.016390228
4.2,-1.012359938
4.4,-1.009256497
4.6,-1.006895204
4.8,-1.005115986
5,-1.003758543
5.2,-1.002796804
5.4,-1.002065047
5.6,-1.001525243
5.8,-1.001127874
6,-1.000835702
6.2,-1.000620961
6.4,-1.000463077
6.6,-1.000346878
6.8,-1.000261213
7,-1.000197911
7.2,-1.000150992
7.4,-1.000116086
7.6,-1.000090001
7.8,-1.000070408
8,-1.000055603
8.5,-1.00003217
9,-1.00001978
9.5,-1.000012855
10,-1.000008754
11,-1.000004506
12,-1.000002546