id,alias,type,format,notes
kCEK,level.encoder_key,int,,levels use value 4
kCEK,list.encoder_key,int,,lists use value 12
k1,level.id,int,,
k1,list.id,int,,
k2,level.name,string,,
k2,list.name,string,,
k3,level.description,string,,
k3,list.description,string,,
k4,level.object_string,string,gzip,
k5,level.creator,string,,
k5,list.creator,string,,
k6,level.user_id,int,,
k7,level.difficulty,int,,
k7,list.difficulty,int,,
k8,level.official_song_id,int,audio track,
k9,level.rating,int,,
k10,level.rating_sum,int,,
k11,level.downloads,int,,
k11,list.downloads,int,,
k12,,,,
k13,level.editable,bool,,
k14,level.verified,bool,,
k15,level.uploaded,int,bool,
k15,list.uploaded,int,bool,
k16,level.version,int,,
k16,list.version,int,,
k17,level.game_version,int,,
k18,level.attempts,int,,
k19,level.normal_mode_best,int,,
k20,level.practice_mode_best,int,,
k21,level.type,int,,
k21,list.type,int,,
k22,level.like_rating,int,,
k22,list.like_rating,int,,
k23,level.length,int,,
k24,level.dislikes,int,,
k25,level.is_demon,bool,,
k26,level.stars,int,,
k27,level.feature_score,int,,
k27,list.featured,bool,,
k28,,,,
k29,,,,
k30,,,,
k31,,,,
k32,,,,
k33,level.is_auto,bool,,
k34,level.replay_data,string,gzip,
k35,level._k35,bool,,
k36,level.jumps,int,,
k37,level.official.required_coins,int,,
k38,level.official.is_unlocked,bool,,
k39,,,,
k40,,,,
k41,level.password,int,,
k42,level.original_id,int,,
k42,list.original_id,int,,
k43,level.mode_2p,bool,,
k44,,,,
k45,level.song_id,int,,
k46,level.revision,int,,
k46,list.revision,int,,unused
k47,level.edited_externally,bool,,
k47,list.edited_externally,bool,,
k48,level.object_count,int,,
k49,,,,
k50,level.binary_version,int,,
k51,,,,
k52,,,,
k53,,,,
k54,,,,
k55,,,,
k56,,,,
k57,,,,
k58,,,,
k59,,,,
k60,level.account_id,int,,
k60,list.account_id,int,,
k61,,,,
k62,,,,
k63,,,,
k64,level.coins,int,,
k65,level.verified_coins,bool,,
k66,level.stars_requested,int,,
k67,level.capacity_string,string,,
k68,level.anticheat_triggered,bool,,
k69,level.high_object_count,bool,,
k70,,,,
k71,level.orb_percentage,int,,
k72,level.ldm,bool,,
k73,level.ldm_enabled,bool,,
k74,level.timely_id,int,,
k75,level.epic_rating,int,,
k76,level.demon_rating,int,,
k77,level.gauntlet,bool,,
k78,level.alt_game,bool,,
k79,level.unlisted,bool,,
k79,list.unlisted,bool,,
k80,level.edit_time,int,,
k81,level.edit_time_copies,int,,
k82,level.favorite,bool,,
k82,list.favorite,bool,,unused
k83,level.order,int,,
k83,list.order,int,,
k84,level.level_folder,int,,
k84,list.level_folder,int,,unused
k85,level.clicks_best,int,,
k86,level.time_best,int,,
k87,level.score_seed,string,level score seed,
k88,level.level_progress,string,int list,?
k89,level.verified_check,bool,,
k90,level.leaderboard_percentage,int,,
k91,level.locked_layers,string,int list,
k92,,,,
k93,level.unlimited_obj_count,bool,,
k94,level.friends_only,bool,,
k94,list.friends_only,bool,,
k95,level.verification_time,int,,
k96,list.level_ids,string,int list,
k97,list.level_info,dict,,
k98,list.upload_time,int,,
k99,list.update_time,int,,
k100,list.online_levels_loaded,bool,,
k101,level.saved_camera_positions,string,pair list,
k102,level.preview_lock_x,int,,
k103,level.preview_lock_y,int,,
k104,level.songs,string,int list,
k105,level.sfx,string,int list,
k106,level._k106,int,,unused
k107,level.best_time,int,,
k108,level.best_points,int,,
k109,level.local_best_time,string,int list,
k110,level.local_best_points,string,int list,
k111,level.platformer_seed,int,,
k112,level.shake_disabled,bool,,
k113,list.diamond_reward,int,,
k114,list.levels_to_claim,int,,
k115,,,,
k116,,,,
k117,,,,
k118,,,,
k119,,,,
k120,,,,
kI1,level.editor.camera_x,float,,
kI2,level.editor.camera_y,float,,
kI3,level.editor.camera_zoom,float,,
kI4,level.editor.build_tab_page,int,,
kI5,level.editor.build_tab,int,,
kI6,level.editor.build_tab_pages,dict,,
kI7,level.editor.layer,float,,
kI8,,,,
kI9,,,,