Model,Time,PromptTokens,CompletionTokens,TotalTokens,EstimatedCost,Attempts,CodeTime,Result,source_file
gpt-4.1,30.66,17622,1598,19220,0.048,5,26.84,Success,plan-question-01.md
gpt-5,129.23,17631,6590,24221,0.088,5,26.24,Success,plan-question-01.md
gpt-5-mini,136.85,26113,10571,36684,0.028,6,62.44,Success,plan-question-01.md
gpt-5-nano,119.69,32535,24263,56798,0.011,7,39.33,Success,plan-question-01.md
gpt-4o,25.85,19667,1786,21453,0.067,6,54.74,Success,plan-question-01.md
o4-mini,39.55,17539,4757,22296,0.04,5,52.43,Success,plan-question-01.md
gpt-oss-120b,32.22,20626,4319,24945,0.006,6,36.77,Success,plan-question-01.md
gpt-oss-20b,30.83,25727,3920,29647,0.002,6,61.19,Success,plan-question-01.md
Qwen3-Coder-480B,31.72,25818,1737,27555,0.055,6,60.88,Success,plan-question-01.md
coder-large,35.67,34458,2941,37399,0.02,8,66.09,Success,plan-question-01.md
claude-sonnet-4,53.63,20174,1644,21818,0.085,5,25.13,Success,plan-question-01.md
gemini-2.5-flash,9.92,19105,1823,20928,0.01,5,56.91,Success,plan-question-01.md
deepseek-chat-v3-0324,109.84,22115,2048,24163,0.008,7,34.57,Success,plan-question-01.md
llama-3.1-8b,219.71,38471,10798,49269,0.001,7,3.74,Failure,plan-question-01.md
llama-3.3-70b,38.34,17572,1392,18964,0.001,5,25.71,Success,plan-question-01.md
llama-4-maverick-400B,25.02,32317,3447,35764,0.007,8,98.78,Success,plan-question-01.md
llama-4-scout-109B,43.79,31874,3061,34935,0.003,7,184.39,Failure,plan-question-01.md
gpt-4.1,25.17,17561,1581,19142,0.048,5,53.16,Success,plan-question-02.md
gpt-5,125.54,17654,7550,25204,0.098,5,32.17,Success,plan-question-02.md
gpt-5-mini,89.1,18062,7350,25412,0.019,5,63.71,Success,plan-question-02.md
gpt-5-nano,91.34,25845,20217,46062,0.009,6,75.49,Success,plan-question-02.md
gpt-4o,18.23,17558,1498,19056,0.059,5,32.1,Success,plan-question-02.md
o4-mini,53.22,20156,5703,25859,0.047,6,45.77,Success,plan-question-02.md
gpt-oss-120b,37.68,24017,4955,28972,0.007,6,51.05,Success,plan-question-02.md
gpt-oss-20b,24.48,17929,3851,21780,0.002,5,32.92,Success,plan-question-02.md
Qwen3-Coder-480B,25.19,17941,1414,19355,0.039,5,33.74,Success,plan-question-02.md
coder-large,28.86,26280,2388,28668,0.015,7,61.79,Success,plan-question-02.md
claude-sonnet-4,37.82,20141,1653,21794,0.085,5,24.9,Success,plan-question-02.md
gemini-2.5-flash,8.69,19100,1649,20749,0.01,5,24.56,Success,plan-question-02.md
deepseek-chat-v3-0324,77.42,22134,2039,24173,0.008,7,32.88,Success,plan-question-02.md
llama-3.1-8b,77.37,33481,3876,37357,0.001,7,17.19,Failure,plan-question-02.md
llama-3.3-70b,59.69,27542,2326,29868,0.001,7,38.03,Success,plan-question-02.md
llama-4-maverick-400B,23.8,17515,1502,19017,0.004,5,24.48,Success,plan-question-02.md
llama-4-scout-109B,23.3,24603,1321,25924,0.002,9,17.23,Failure,plan-question-02.md
gpt-4.1,38.52,20772,2249,23021,0.06,6,64.01,Success,plan-question-03.md
gpt-5,200.91,17672,7821,25493,0.1,5,57.56,Success,plan-question-03.md
gpt-5-mini,90.07,17864,7474,25338,0.019,5,56.09,Success,plan-question-03.md
gpt-5-nano,77.27,19773,17636,37409,0.008,6,57.33,Success,plan-question-03.md
gpt-4o,54.13,32206,2932,35138,0.11,7,4.5,Failure,plan-question-03.md
o4-mini,36.86,17634,4346,21980,0.039,5,52.03,Success,plan-question-03.md
gpt-oss-120b,27.26,26214,4162,30376,0.006,6,51.92,Success,plan-question-03.md
gpt-oss-20b,23.97,17976,4551,22527,0.002,5,52.52,Success,plan-question-03.md
Qwen3-Coder-480B,26.72,18001,1609,19610,0.039,5,24.97,Success,plan-question-03.md
coder-large,45.31,48159,3752,51911,0.027,10,38.97,Success,plan-question-03.md
claude-sonnet-4,46.97,28899,2075,30974,0.118,6,62.64,Success,plan-question-03.md
gemini-2.5-flash,10.24,19179,1929,21108,0.011,5,23.34,Success,plan-question-03.md
deepseek-chat-v3-0324,80.39,18034,1507,19541,0.006,5,24.74,Success,plan-question-03.md
llama-3.1-8b,47.16,32081,3194,35275,0.001,7,16.55,Failure,plan-question-03.md
llama-3.3-70b,78.36,33644,3419,37063,0.002,7,183.67,Failure,plan-question-03.md
llama-4-maverick-400B,14.37,17449,1511,18960,0.004,5,56.01,Success,plan-question-03.md
llama-4-scout-109B,27.48,26819,1872,28691,0.003,7,74.76,Success,plan-question-03.md
gpt-4.1,30.67,17756,1907,19663,0.051,5,52.29,Success,plan-question-04.md
gpt-5,206.8,17894,9300,27194,0.115,5,24.74,Success,plan-question-04.md
gpt-5-mini,114.53,18099,9019,27118,0.023,5,54.21,Success,plan-question-04.md
gpt-5-nano,96.33,25868,22563,48431,0.01,6,70.83,Success,plan-question-04.md
gpt-4o,30.25,21708,2243,23951,0.077,7,33.02,Success,plan-question-04.md
o4-mini,63.85,17823,7514,25337,0.053,5,22.92,Success,plan-question-04.md
gpt-oss-120b,31.06,27034,5921,32955,0.008,7,50.21,Success,plan-question-04.md
gpt-oss-20b,31.88,18224,4435,22659,0.002,5,49.49,Success,plan-question-04.md
Qwen3-Coder-480B,28.92,18072,1738,19810,0.04,5,58.7,Success,plan-question-04.md
coder-large,34.63,26497,2912,29409,0.016,7,56.71,Success,plan-question-04.md
claude-sonnet-4,43.82,20322,1994,22316,0.091,5,49.11,Success,plan-question-04.md
gemini-2.5-flash,15.44,19289,2954,22243,0.013,5,22.17,Success,plan-question-04.md
deepseek-chat-v3-0324,226.43,22245,2394,24639,0.008,7,55.87,Success,plan-question-04.md
llama-3.1-8b,38.88,32744,2517,35261,0.001,7,8.63,Failure,plan-question-04.md
llama-3.3-70b,66.18,24392,3057,27449,0.001,8,73.7,Success,plan-question-04.md
llama-4-maverick-400B,26.12,14023,3000,17023,0.004,6,49.85,Success,plan-question-04.md
llama-4-scout-109B,49.14,32501,4071,36572,0.004,10,87.14,Success,plan-question-04.md
gpt-4.1,45.49,17935,2658,20593,0.057,5,56.01,Success,plan-question-05.md
gpt-5,178.53,18155,9949,28104,0.122,5,49.83,Success,plan-question-05.md
gpt-5-mini,138.07,26668,11606,38274,0.03,6,55.86,Success,plan-question-05.md
gpt-5-nano,183.11,48705,42955,91660,0.02,9,46.85,Success,plan-question-05.md
gpt-4o,36.77,17821,2038,19859,0.065,5,51.83,Success,plan-question-05.md
o4-mini,80.46,18139,10901,29040,0.068,5,53.46,Success,plan-question-05.md
gpt-oss-120b,38.79,34930,8121,43051,0.01,7,31.54,Failure,plan-question-05.md
gpt-oss-20b,54.98,36840,11447,48287,0.004,7,36.48,Failure,plan-question-05.md
Qwen3-Coder-480B,63.01,36242,3951,40193,0.08,7,63.86,Success,plan-question-05.md
coder-large,53.42,56366,4552,60918,0.032,9,45.11,Failure,plan-question-05.md
claude-sonnet-4,73.62,30092,3520,33612,0.143,6,26.28,Success,plan-question-05.md
gemini-2.5-flash,47.82,62659,10363,73022,0.045,9,226.47,Failure,plan-question-05.md
deepseek-chat-v3-0324,244.08,43456,5755,49211,0.017,11,65.51,Failure,plan-question-05.md
llama-3.1-8b,63.89,33565,4547,38112,0.001,7,17.58,Failure,plan-question-05.md
llama-3.3-70b,87.32,34029,3770,37799,0.002,7,54.5,Failure,plan-question-05.md
llama-4-maverick-400B,31.16,19964,2681,22645,0.005,6,23.33,Success,plan-question-05.md
llama-4-scout-109B,11.75,11691,322,12013,0.001,6,0.0,Failure,plan-question-05.md
gpt-4.1,88.02,26456,4538,30994,0.089,6,118.34,Success,plan-question-06.md
gpt-5,434.08,33636,20567,54203,0.248,7,128.77,Success,plan-question-06.md
gpt-5-mini,152.15,18991,13721,32712,0.032,5,97.51,Success,plan-question-06.md
gpt-5-nano,184.9,40941,41247,82188,0.019,10,134.0,Success,plan-question-06.md
gpt-4o,62.65,34649,6356,41005,0.15,7,26.24,Failure,plan-question-06.md
o4-mini,118.28,26640,16523,43163,0.102,6,119.43,Success,plan-question-06.md
gpt-oss-120b,64.13,58678,16086,74764,0.018,9,843.79,Failure,plan-question-06.md
gpt-oss-20b,69.14,34118,10802,44920,0.004,7,8.75,Failure,plan-question-06.md
Qwen3-Coder-480B,150.54,68137,9295,77432,0.155,11,100.49,Success,plan-question-06.md
coder-large,354.84,71310,32496,103806,0.062,11,86.86,Failure,plan-question-06.md
claude-sonnet-4,84.27,30093,5093,35186,0.167,6,85.47,Success,plan-question-06.md
gemini-2.5-flash,109.79,61738,24473,86211,0.08,8,154.88,Failure,plan-question-06.md
deepseek-chat-v3-0324,160.84,34829,5483,40312,0.015,7,78.79,Success,plan-question-06.md
llama-3.1-8b,130.71,33375,5375,38750,0.001,7,22.53,Failure,plan-question-06.md
llama-3.3-70b,119.99,34891,6280,41171,0.002,7,39.35,Failure,plan-question-06.md
llama-4-maverick-400B,158.64,63850,16028,79878,0.019,10,77.09,Failure,plan-question-06.md
llama-4-scout-109B,66.46,34282,4951,39233,0.004,7,55.05,Failure,plan-question-06.md
gpt-4.1,57.95,18181,3367,21548,0.063,5,56.97,Success,plan-question-07.md
gpt-5,192.75,18350,11865,30215,0.142,5,50.83,Success,plan-question-07.md
gpt-5-mini,142.45,18743,10144,28887,0.025,5,50.22,Success,plan-question-07.md
gpt-5-nano,182.19,39139,40120,79259,0.018,9,61.58,Failure,plan-question-07.md
gpt-4o,78.26,45787,5758,51545,0.172,9,86.01,Success,plan-question-07.md
o4-mini,71.65,18150,9262,27412,0.061,5,22.47,Success,plan-question-07.md
gpt-oss-120b,102.1,55303,14187,69490,0.017,8,55.77,Failure,plan-question-07.md
gpt-oss-20b,63.78,53128,13660,66788,0.005,8,62.02,Failure,plan-question-07.md
Qwen3-Coder-480B,44.21,18453,2847,21300,0.043,5,56.75,Success,plan-question-07.md
coder-large,63.72,41830,5667,47497,0.025,9,60.27,Success,plan-question-07.md
claude-sonnet-4,75.0,30569,4370,34939,0.157,6,60.28,Success,plan-question-07.md
gemini-2.5-flash,69.1,68062,16835,84897,0.063,9,55.76,Failure,plan-question-07.md
deepseek-chat-v3-0324,112.91,22600,3236,25836,0.009,7,57.66,Success,plan-question-07.md
llama-3.1-8b,68.38,32334,3180,35514,0.001,7,3.89,Failure,plan-question-07.md
llama-3.3-70b,94.84,34525,4884,39409,0.002,7,33.08,Failure,plan-question-07.md
llama-4-maverick-400B,45.93,28424,3717,32141,0.006,7,64.18,Success,plan-question-07.md
llama-4-scout-109B,68.93,32260,4370,36630,0.004,7,4.05,Failure,plan-question-07.md
gpt-4.1,156.92,47334,8858,56192,0.166,8,36.72,Success,plan-question-08.md
gpt-5,315.18,28325,19336,47661,0.229,6,55.97,Success,plan-question-08.md
gpt-5-mini,395.01,66587,32533,99120,0.082,9,73.07,Failure,plan-question-08.md
gpt-5-nano,157.38,48225,36772,84997,0.017,9,96.91,Success,plan-question-08.md
gpt-4o,41.91,34860,4538,39398,0.133,7,35.42,Failure,plan-question-08.md
o4-mini,170.28,27903,20913,48816,0.123,7,87.93,Success,plan-question-08.md
gpt-oss-120b,62.1,35168,9841,45009,0.011,7,24.47,Failure,plan-question-08.md
gpt-oss-20b,78.18,36213,12302,48515,0.004,7,44.93,Failure,plan-question-08.md
Qwen3-Coder-480B,84.62,28366,5123,33489,0.067,6,56.81,Success,plan-question-08.md
coder-large,52.64,35622,4678,40300,0.022,7,36.46,Failure,plan-question-08.md
claude-sonnet-4,107.36,47457,5636,53093,0.227,8,30.88,Success,plan-question-08.md
gemini-2.5-flash,76.01,70803,19578,90381,0.07,9,67.42,Failure,plan-question-08.md
deepseek-chat-v3-0324,335.93,54089,7311,61400,0.022,8,68.17,Failure,plan-question-08.md
llama-3.1-8b,89.48,33458,5192,38650,0.001,7,3.75,Failure,plan-question-08.md
llama-3.3-70b,188.38,63021,7318,70339,0.003,10,81.18,Failure,plan-question-08.md
llama-4-maverick-400B,69.01,35686,7462,43148,0.01,7,6.99,Failure,plan-question-08.md
llama-4-scout-109B,10.37,30629,708,31337,0.003,7,0.0,Failure,plan-question-08.md
