Amplitude,Filter,Onset,Phase,Picker,Polarity,Quality,Site,Source,Time,Type,event_index
"{'Amplitude': 2483.6442871094, 'SNR': 3.69}","[{'Type': 'HighPass', 'HighPass': 1.0}]",impulsive,S,deep-learning,no-result,"[{'Standard': 'PhaseNet', 'Value': 1.0}, {'Standard': 'hypoinverse', 'Value': 0}]","{'Station': 'DGR', 'Channel': 'HHE', 'Network': 'CI', 'Location': ''}","{'AgencyID': 'CI', 'Author': 'hypoPN'}",2024-05-15T00:14:10.440000,Pick,1
"{'Amplitude': 317.5878601074, 'SNR': 6.202}","[{'Type': 'HighPass', 'HighPass': 1.0}]",emergent,S,deep-learning,no-result,"[{'Standard': 'PhaseNet', 'Value': 0.862}, {'Standard': 'hypoinverse', 'Value': 2}]","{'Station': 'BLA2', 'Channel': 'HHE', 'Network': 'CI', 'Location': ''}","{'AgencyID': 'CI', 'Author': 'hypoPN'}",2024-05-15T00:14:26.803000,Pick,1
"{'Amplitude': 1055.7459716797, 'SNR': 9.875}","[{'Type': 'HighPass', 'HighPass': 1.0}]",emergent,S,deep-learning,no-result,"[{'Standard': 'PhaseNet', 'Value': 0.929}, {'Standard': 'hypoinverse', 'Value': 2}]","{'Station': 'CYP', 'Channel': 'HHE', 'Network': 'CI', 'Location': ''}","{'AgencyID': 'CI', 'Author': 'hypoPN'}",2024-05-15T00:14:17.583000,Pick,1
"{'Amplitude': 1240.8824462891, 'SNR': 4.718}","[{'Type': 'HighPass', 'HighPass': 1.0}]",emergent,P,deep-learning,no-result,"[{'Standard': 'PhaseNet', 'Value': 0.756}, {'Standard': 'hypoinverse', 'Value': 2}]","{'Station': 'B093', 'Channel': 'EHZ', 'Network': 'PB', 'Location': ''}","{'AgencyID': 'PB', 'Author': 'hypoPN'}",2024-05-15T00:14:05.558000,Pick,1
"{'Amplitude': 7728.9204101562, 'SNR': 15.368}","[{'Type': 'HighPass', 'HighPass': 1.0}]",impulsive,S,deep-learning,no-result,"[{'Standard': 'PhaseNet', 'Value': 1.0}, {'Standard': 'hypoinverse', 'Value': 0}]","{'Station': 'SDR', 'Channel': 'HHE', 'Network': 'CI', 'Location': ''}","{'AgencyID': 'CI', 'Author': 'hypoPN'}",2024-05-15T00:14:21.540000,Pick,-1
"{'Amplitude': 3334.9221191406, 'SNR': 12.003}","[{'Type': 'HighPass', 'HighPass': 1.0}]",emergent,P,deep-learning,no-result,"[{'Standard': 'PhaseNet', 'Value': 0.649}, {'Standard': 'hypoinverse', 'Value': 2}]","{'Station': 'HMT2', 'Channel': 'HHZ', 'Network': 'CI', 'Location': ''}","{'AgencyID': 'CI', 'Author': 'hypoPN'}",2024-05-15T00:14:07.628000,Pick,1
"{'Amplitude': 890.7935180664, 'SNR': 11.167}","[{'Type': 'HighPass', 'HighPass': 1.0}]",emergent,S,deep-learning,no-result,"[{'Standard': 'PhaseNet', 'Value': 0.712}, {'Standard': 'hypoinverse', 'Value': 2}]","{'Station': 'CTW', 'Channel': 'HHE', 'Network': 'CI', 'Location': ''}","{'AgencyID': 'CI', 'Author': 'hypoPN'}",2024-05-15T00:14:29.953000,Pick,-1
"{'Amplitude': 6236.583984375, 'SNR': 14.871}","[{'Type': 'HighPass', 'HighPass': 1.0}]",impulsive,S,deep-learning,no-result,"[{'Standard': 'PhaseNet', 'Value': 0.998}, {'Standard': 'hypoinverse', 'Value': 0}]","{'Station': 'DPP', 'Channel': 'HHE', 'Network': 'CI', 'Location': ''}","{'AgencyID': 'CI', 'Author': 'hypoPN'}",2024-05-15T00:14:13.698000,Pick,-1
"{'Amplitude': 1921.1118164062, 'SNR': 6.205}","[{'Type': 'HighPass', 'HighPass': 1.0}]",impulsive,S,deep-learning,no-result,"[{'Standard': 'PhaseNet', 'Value': 0.999}, {'Standard': 'hypoinverse', 'Value': 0}]","{'Station': 'SMER', 'Channel': 'HHE', 'Network': 'AZ', 'Location': ''}","{'AgencyID': 'AZ', 'Author': 'hypoPN'}",2024-05-15T00:14:10.108000,Pick,1
"{'Amplitude': 1306.9959716797, 'SNR': 5.534}","[{'Type': 'HighPass', 'HighPass': 1.0}]",impulsive,S,deep-learning,no-result,"[{'Standard': 'PhaseNet', 'Value': 0.997}, {'Standard': 'hypoinverse', 'Value': 0}]","{'Station': 'FRD', 'Channel': 'HHE', 'Network': 'AZ', 'Location': ''}","{'AgencyID': 'AZ', 'Author': 'hypoPN'}",2024-05-15T00:14:09.468000,Pick,1
"{'Amplitude': 1011.6141967773, 'SNR': 9.725}","[{'Type': 'HighPass', 'HighPass': 1.0}]",impulsive,S,deep-learning,no-result,"[{'Standard': 'PhaseNet', 'Value': 0.937}, {'Standard': 'hypoinverse', 'Value': 1}]","{'Station': 'LMH', 'Channel': 'HHE', 'Network': 'CI', 'Location': ''}","{'AgencyID': 'CI', 'Author': 'hypoPN'}",2024-05-15T00:14:19.138000,Pick,1
"{'Amplitude': 610.7532348633, 'SNR': 8.07}","[{'Type': 'HighPass', 'HighPass': 1.0}]",emergent,P,deep-learning,no-result,"[{'Standard': 'PhaseNet', 'Value': 0.845}, {'Standard': 'hypoinverse', 'Value': 2}]","{'Station': 'FHO', 'Channel': 'HHZ', 'Network': 'CI', 'Location': ''}","{'AgencyID': 'CI', 'Author': 'hypoPN'}",2024-05-15T00:14:14.633000,Pick,1
"{'Amplitude': 3019.2033691406, 'SNR': 2.303}","[{'Type': 'HighPass', 'HighPass': 1.0}]",emergent,P,deep-learning,no-result,"[{'Standard': 'PhaseNet', 'Value': 0.649}, {'Standard': 'hypoinverse', 'Value': 2}]","{'Station': 'RDM', 'Channel': 'HHZ', 'Network': 'AZ', 'Location': ''}","{'AgencyID': 'AZ', 'Author': 'hypoPN'}",2024-05-15T00:14:05.858000,Pick,1
"{'Amplitude': 851.7515869141, 'SNR': 5.983}","[{'Type': 'HighPass', 'HighPass': 1.0}]",emergent,P,deep-learning,no-result,"[{'Standard': 'PhaseNet', 'Value': 0.649}, {'Standard': 'hypoinverse', 'Value': 2}]","{'Station': 'B086', 'Channel': 'EHZ', 'Network': 'PB', 'Location': ''}","{'AgencyID': 'PB', 'Author': 'hypoPN'}",2024-05-15T00:14:12.108000,Pick,-1
"{'Amplitude': 851.7515869141, 'SNR': 8.087}","[{'Type': 'HighPass', 'HighPass': 1.0}]",impulsive,S,deep-learning,no-result,"[{'Standard': 'PhaseNet', 'Value': 0.934}, {'Standard': 'hypoinverse', 'Value': 1}]","{'Station': 'B086', 'Channel': 'EH2', 'Network': 'PB', 'Location': ''}","{'AgencyID': 'PB', 'Author': 'hypoPN'}",2024-05-15T00:14:12.008000,Pick,1
"{'Amplitude': 174.1473388672, 'SNR': 15.717}","[{'Type': 'HighPass', 'HighPass': 1.0}]",emergent,P,deep-learning,no-result,"[{'Standard': 'PhaseNet', 'Value': 0.877}, {'Standard': 'hypoinverse', 'Value': 2}]","{'Station': 'SNO', 'Channel': 'HHZ', 'Network': 'CI', 'Location': ''}","{'AgencyID': 'CI', 'Author': 'hypoPN'}",2024-05-15T00:14:13.690000,Pick,1
"{'Amplitude': 657.0178833008, 'SNR': 13.34}","[{'Type': 'HighPass', 'HighPass': 1.0}]",impulsive,P,deep-learning,up,"[{'Standard': 'PhaseNet', 'Value': 0.965}, {'Standard': 'hypoinverse', 'Value': 1}]","{'Station': 'TOR', 'Channel': 'HHZ', 'Network': 'CI', 'Location': ''}","{'AgencyID': 'CI', 'Author': 'hypoPN'}",2024-05-15T00:14:12.108000,Pick,1
"{'Amplitude': 657.0178833008, 'SNR': 8.042}","[{'Type': 'HighPass', 'HighPass': 1.0}]",emergent,S,deep-learning,no-result,"[{'Standard': 'PhaseNet', 'Value': 0.923}, {'Standard': 'hypoinverse', 'Value': 2}]","{'Station': 'TOR', 'Channel': 'HHE', 'Network': 'CI', 'Location': ''}","{'AgencyID': 'CI', 'Author': 'hypoPN'}",2024-05-15T00:14:19.588000,Pick,1
"{'Amplitude': 2722.8020019531, 'SNR': 11.3}","[{'Type': 'HighPass', 'HighPass': 1.0}]",emergent,P,deep-learning,no-result,"[{'Standard': 'PhaseNet', 'Value': 0.787}, {'Standard': 'hypoinverse', 'Value': 2}]","{'Station': 'CRY', 'Channel': 'HHZ', 'Network': 'AZ', 'Location': ''}","{'AgencyID': 'AZ', 'Author': 'hypoPN'}",2024-05-15T00:14:05.378000,Pick,1
"{'Amplitude': 429.4825134277, 'SNR': 6.572}","[{'Type': 'HighPass', 'HighPass': 1.0}]",emergent,P,deep-learning,no-result,"[{'Standard': 'PhaseNet', 'Value': 0.662}, {'Standard': 'hypoinverse', 'Value': 2}]","{'Station': 'LMS', 'Channel': 'HHZ', 'Network': 'CI', 'Location': ''}","{'AgencyID': 'CI', 'Author': 'hypoPN'}",2024-05-15T00:14:13.248000,Pick,1
"{'Amplitude': 429.4825134277, 'SNR': 10.749}","[{'Type': 'HighPass', 'HighPass': 1.0}]",emergent,S,deep-learning,no-result,"[{'Standard': 'PhaseNet', 'Value': 0.645}, {'Standard': 'hypoinverse', 'Value': 2}]","{'Station': 'LMS', 'Channel': 'HHE', 'Network': 'CI', 'Location': ''}","{'AgencyID': 'CI', 'Author': 'hypoPN'}",2024-05-15T00:14:21.558000,Pick,1
"{'Amplitude': 2504.291015625, 'SNR': 4.177}","[{'Type': 'HighPass', 'HighPass': 1.0}]",emergent,P,deep-learning,no-result,"[{'Standard': 'PhaseNet', 'Value': 0.649}, {'Standard': 'hypoinverse', 'Value': 2}]","{'Station': 'KNW', 'Channel': 'HHZ', 'Network': 'AZ', 'Location': ''}","{'AgencyID': 'AZ', 'Author': 'hypoPN'}",2024-05-15T00:14:08.088000,Pick,1
"{'Amplitude': 2504.291015625, 'SNR': 19.651}","[{'Type': 'HighPass', 'HighPass': 1.0}]",impulsive,S,deep-learning,no-result,"[{'Standard': 'PhaseNet', 'Value': 0.997}, {'Standard': 'hypoinverse', 'Value': 0}]","{'Station': 'KNW', 'Channel': 'HHE', 'Network': 'AZ', 'Location': ''}","{'AgencyID': 'AZ', 'Author': 'hypoPN'}",2024-05-15T00:14:07.908000,Pick,-1
"{'Amplitude': 4024.4311523438, 'SNR': 10.235}","[{'Type': 'HighPass', 'HighPass': 1.0}]",impulsive,S,deep-learning,no-result,"[{'Standard': 'PhaseNet', 'Value': 1.0}, {'Standard': 'hypoinverse', 'Value': 0}]","{'Station': 'MTG', 'Channel': 'HHE', 'Network': 'CI', 'Location': ''}","{'AgencyID': 'CI', 'Author': 'hypoPN'}",2024-05-15T00:14:10.043000,Pick,1
"{'Amplitude': 648.2689208984, 'SNR': 7.964}","[{'Type': 'HighPass', 'HighPass': 1.0}]",impulsive,P,deep-learning,no-result,"[{'Standard': 'PhaseNet', 'Value': 0.968}, {'Standard': 'hypoinverse', 'Value': 1}]","{'Station': 'WWC', 'Channel': 'HHZ', 'Network': 'CI', 'Location': ''}","{'AgencyID': 'CI', 'Author': 'hypoPN'}",2024-05-15T00:14:14.083000,Pick,1
"{'Amplitude': 479.0361633301, 'SNR': 3.806}","[{'Type': 'HighPass', 'HighPass': 1.0}]",emergent,S,deep-learning,no-result,"[{'Standard': 'PhaseNet', 'Value': 0.706}, {'Standard': 'hypoinverse', 'Value': 2}]","{'Station': 'WWC', 'Channel': 'HHE', 'Network': 'CI', 'Location': ''}","{'AgencyID': 'CI', 'Author': 'hypoPN'}",2024-05-15T00:14:23.223000,Pick,1
"{'Amplitude': 1502.9400634766, 'SNR': 6.814}","[{'Type': 'HighPass', 'HighPass': 1.0}]",impulsive,S,deep-learning,no-result,"[{'Standard': 'PhaseNet', 'Value': 0.997}, {'Standard': 'hypoinverse', 'Value': 0}]","{'Station': 'RHR', 'Channel': 'HHE', 'Network': 'CI', 'Location': ''}","{'AgencyID': 'CI', 'Author': 'hypoPN'}",2024-05-15T00:14:10.440000,Pick,1
"{'Amplitude': 336.6164245605, 'SNR': 1.073}","[{'Type': 'HighPass', 'HighPass': 1.0}]",emergent,P,deep-learning,no-result,"[{'Standard': 'PhaseNet', 'Value': 0.526}, {'Standard': 'hypoinverse', 'Value': 3}]","{'Station': 'PLS', 'Channel': 'HHZ', 'Network': 'CI', 'Location': ''}","{'AgencyID': 'CI', 'Author': 'hypoPN'}",2024-05-15T00:14:14.818000,Pick,1
"{'Amplitude': 971.5390625, 'SNR': 14.79}","[{'Type': 'HighPass', 'HighPass': 1.0}]",impulsive,P,deep-learning,down,"[{'Standard': 'PhaseNet', 'Value': 0.961}, {'Standard': 'hypoinverse', 'Value': 1}]","{'Station': 'MSC', 'Channel': 'HHZ', 'Network': 'CI', 'Location': ''}","{'AgencyID': 'CI', 'Author': 'hypoPN'}",2024-05-15T00:14:14.058000,Pick,1
"{'Amplitude': 22016.35546875, 'SNR': 14.575}","[{'Type': 'HighPass', 'HighPass': 1.0}]",emergent,P,deep-learning,no-result,"[{'Standard': 'PhaseNet', 'Value': 0.571}, {'Standard': 'hypoinverse', 'Value': 3}]","{'Station': 'LKH', 'Channel': 'HHZ', 'Network': 'CI', 'Location': ''}","{'AgencyID': 'CI', 'Author': 'hypoPN'}",2024-05-15T00:14:07.250000,Pick,-1
"{'Amplitude': 22016.35546875, 'SNR': 11.687}","[{'Type': 'HighPass', 'HighPass': 1.0}]",impulsive,S,deep-learning,no-result,"[{'Standard': 'PhaseNet', 'Value': 1.0}, {'Standard': 'hypoinverse', 'Value': 0}]","{'Station': 'LKH', 'Channel': 'HHE', 'Network': 'CI', 'Location': ''}","{'AgencyID': 'CI', 'Author': 'hypoPN'}",2024-05-15T00:14:07.680000,Pick,-1
"{'Amplitude': 3372.8056640625, 'SNR': 10.065}","[{'Type': 'HighPass', 'HighPass': 1.0}]",impulsive,S,deep-learning,no-result,"[{'Standard': 'PhaseNet', 'Value': 0.97}, {'Standard': 'hypoinverse', 'Value': 0}]","{'Station': 'TRO', 'Channel': 'HHE', 'Network': 'AZ', 'Location': ''}","{'AgencyID': 'AZ', 'Author': 'hypoPN'}",2024-05-15T00:14:14.568000,Pick,-1
"{'Amplitude': 1867.6115722656, 'SNR': 7.662}","[{'Type': 'HighPass', 'HighPass': 1.0}]",emergent,P,deep-learning,no-result,"[{'Standard': 'PhaseNet', 'Value': 0.649}, {'Standard': 'hypoinverse', 'Value': 2}]","{'Station': 'VCP', 'Channel': 'EHZ', 'Network': 'CI', 'Location': ''}","{'AgencyID': 'CI', 'Author': 'hypoPN'}",2024-05-15T00:14:07.770000,Pick,1
